City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,okha,53.5739,142.9478,4.91,74,89,4.08,RU,1698631796
329,marsabit,2.3284,37.9899,17.75,83,82,1.75,KE,1698631796
330,khandyga,62.6667,135.6,-5.56,93,100,1.77,RU,1698631796
331,olavarria,-36.8927,-60.3225,12.35,44,68,4.41,AR,1698631797
332,el calafate,-50.3408,-72.2768,3.58,65,5,4.29,AR,1698631797
333,tsengel,49.4783,100.8894,-2.99,77,96,1.19,MN,1698631798
334,nicoya,10.1483,-85.452,23.47,95,100,0.84,CR,1698631798
335,namibe,-15.1961,12.1522,19.32,86,5,2.11,AO,1698631798
336,anzhero-sudzhensk,56.081,86.0285,-7.94,94,61,2.56,RU,1698631543
337,baukau,51.5526,7.2042,13.0,74,100,1.34,DE,1698631799
338,yamada,39.4667,141.95,14.62,75,83,2.93,JP,1698631795
339,chul'man,56.8479,124.9104,-9.88,91,100,4.58,RU,1698631799
340,msanga,-6.05,36.0333,20.98,72,100,3.46,TZ,1698631800
341,palopo,-2.9996,120.1921,29.76,57,29,2.32,ID,1698631800
342,kaohsiung,22.6163,120.3133,27.97,72,75,2.06,TW,1698631801
343,geraldton,-28.7667,114.6,22.23,53,2,6.17,AU,1698631801
344,deschutes river woods,43.9915,-121.3584,4.06,56,0,1.54,US,1698631801
345,carauari,-4.8828,-66.8958,24.54,91,78,2.02,BR,1698631802
346,limassol,34.675,33.0333,20.04,60,0,1.03,CY,1698631802
347,porto belo,-27.1578,-48.5531,23.87,87,100,2.69,BR,1698631803
348,vrangel',42.7297,133.0839,12.13,73,99,1.0,RU,1698631778
349,yemva,62.59,50.8594,-4.61,94,100,2.15,RU,1698631804
350,borger,52.9233,6.7931,10.46,89,19,7.17,NL,1698631804
351,port alfred,-33.5906,26.891,14.84,63,97,8.09,ZA,1698631805
352,nouadhibou,20.931,-17.0347,20.99,88,0,5.66,MR,1698631805
353,jiagedaqi,50.4167,124.1167,1.17,29,0,6.15,CN,1698631806
354,tazacorte,28.629,-17.9293,21.54,81,0,3.13,ES,1698631807
355,chinon,47.1667,0.3333,12.66,87,100,3.21,FR,1698631807
356,hurricane,37.1753,-113.2899,10.74,27,0,5.3,US,1698631716
357,port macquarie,-31.4333,152.9167,26.05,50,0,6.63,AU,1698631808
358,bad liebenzell,48.7667,8.7333,12.78,95,75,2.17,DE,1698631808
359,paranagua,-25.52,-48.5092,22.85,95,100,0.91,BR,1698631809
360,makokou,0.5738,12.8642,21.06,96,100,0.41,GA,1698631809
361,lorengau,-2.0226,147.2712,25.43,90,100,2.96,PG,1698631809
